2018-05-01,143370.62999999995
2018-05-02,98419.2899999999
2018-05-03,92463.90000000002
2018-05-04,108690.41000000002
2018-05-05,143837.33000000002
2018-05-06,217337.92000000004
2018-05-07,131037.49000000008
2018-05-08,101356.14
2018-05-09,88466.00000000006
2018-05-10,88056.56000000001
2018-05-11,88247.16000000003
2018-05-12,132893.26999999996
2018-05-13,220230.52000000005
2018-05-14,137144.68000000008
2018-05-15,113642.23999999995
2018-05-16,102066.32999999997
2018-05-17,93476.96999999994
2018-05-18,83043.38999999998
2018-05-19,105103.66
2018-05-20,205145.8700000002
2018-05-21,116272.39000000001
2018-05-22,97580.41000000008
2018-05-23,95648.53999999992
2018-05-24,89999.64999999997
2018-05-25,83829.96999999994
2018-05-26,127044.03999999998
2018-05-27,213355.6500000001
2018-05-28,117511.66000000003
2018-05-29,95922.01000000002
2018-05-30,125314.17999999986
2018-05-31,92469.36999999992
2018-06-01,92554.73999999998
2018-06-02,138920.29000000015
2018-06-03,252807.49000000002
2018-06-04,128131.4400000001
2018-06-05,100778.2599999999
2018-06-06,87249.67000000007
2018-06-07,95129.63999999985
2018-06-08,99126.58999999997
2018-06-09,132876.78000000006
2018-06-10,223796.92000000025
2018-06-11,136190.30999999994
2018-06-12,112849.60000000006
2018-06-13,99139.1
2018-06-14,89199.30999999995
2018-06-15,89572.48
2018-06-16,154663.78999999995
2018-06-17,212959.96999999974
2018-06-18,143766.5599999999
2018-06-19,107558.37000000001
2018-06-20,97627.45000000001
2018-06-21,77444.25999999994
2018-06-22,94054.71
2018-06-23,125776.42000000009
2018-06-24,192391.89000000025
2018-06-25,128161.26
2018-06-26,104122.30000000002
2018-06-27,92543.98000000003
2018-06-28,88311.63999999996
2018-06-29,103261.77999999998
2018-06-30,148591.4400000002
2018-07-01,243835.8100000001
2018-07-02,138426.26000000007
2018-07-03,121335.07000000005
2018-07-04,108150.3999999999
2018-07-05,106574.60999999991
2018-07-06,97356.20000000013
2018-07-07,162076.87000000008
2018-07-08,217023.96
2018-07-09,144720.88
2018-07-10,105788.80999999994
2018-07-11,91150.46999999999
2018-07-12,98063.44999999998
2018-07-13,114133.09999999999
2018-07-14,151641.27999999994
2018-07-15,204735.35000000003
2018-07-16,123254.66
2018-07-17,101709.62999999998
2018-07-18,96624.15000000004
2018-07-19,95356.26000000001
2018-07-20,129177.58999999997
2018-07-21,142575.34000000005
2018-07-22,202843.19
2018-07-23,141714.37000000002
2018-07-24,107923.96999999999
2018-07-25,104293.4300000001
2018-07-26,88153.06999999995
2018-07-27,114781.93999999997
2018-07-28,126526.89000000003
2018-07-29,228395.91999999995
2018-07-30,148183.60000000003
2018-07-31,141014.30999999988
2018-08-01,118464.13000000002
2018-08-02,91448.59000000001
2018-08-03,132302.86999999994
2018-08-04,163600.78
2018-08-05,247912.24000000043
2018-08-06,142928.34999999995
2018-08-07,108593.30999999995
2018-08-08,108448.50000000003
2018-08-09,95414.66000000002
2018-08-10,112784.24999999996
2018-08-11,156810.8399999999
2018-08-12,252637.99000000002
2018-08-13,147950.50000000003
2018-08-14,109328.5799999999
2018-08-15,117876.52
2018-08-16,116334.65999999989
2018-08-17,126552.56000000001
2018-08-18,170467.91999999993
2018-08-19,326963.9600000002
2018-08-20,181989.98000000004
2018-08-21,146588.3900000001
2018-08-22,102463.62999999993
2018-08-23,93542.30000000002
2018-08-24,92008.76
2018-08-25,126689.53999999992
2018-08-26,278824.29999999993
2018-08-27,133035.15999999997
2018-08-28,95104.23999999995
2018-08-29,98687.00000000009
2018-08-30,100953.2299999999
2018-08-31,116025.6400000001
